id,element,primary_response,rating
826804,2.1.1.1,COMPLIANT,G
826804,2.1.1.2,COMPLIANT,G
826804,2.1.2.1,COMPLIANT,G
826804,2.1.2.2,COMPLIANT,G
826804,2.1.2.3,COMPLIANT,G
826804,2.1.2.4,COMPLIANT,G
826804,2.1.2.5,COMPLIANT,G
826804,2.1.2.6,COMPLIANT,G
826804,2.1.2.7,COMPLIANT,G
826804,2.1.2.8,COMPLIANT,G
826804,2.1.2.9,COMPLIANT,G
826804,2.1.2.10,COMPLIANT,G
826804,2.1.2.11,N/A,G
826804,2.1.3.1,COMPLIANT,G
826804,2.1.3.2,COMPLIANT,G
826804,2.1.3.3,COMPLIANT,G
826804,2.1.3.4,COMPLIANT,G
826804,2.1.4.1,COMPLIANT,G
826804,2.1.4.2,COMPLIANT,G
826804,2.1.4.3,COMPLIANT,G
826804,2.1.4.4,COMPLIANT,G
826804,2.1.5.1,COMPLIANT,G
826804,2.1.5.2,COMPLIANT,G
826804,2.1.5.3,COMPLIANT,G
826804,2.1.5.4,COMPLIANT,G
826804,2.2.1.1,COMPLIANT,G
826804,2.2.1.2,COMPLIANT,G
826804,2.2.2.1,MINOR,G
826804,2.2.2.2,COMPLIANT,G
826804,2.2.2.3,COMPLIANT,G
826804,2.4.4.8,COMPLIANT,G
826804,2.4.4.9,COMPLIANT,G
826804,2.4.4.10,COMPLIANT,G
826804,2.2.3.1,MINOR,G
826804,2.2.3.2,COMPLIANT,G
826804,2.2.3.3,COMPLIANT,G
826804,2.3.1.1,COMPLIANT,G
826804,2.3.1.2,COMPLIANT,G
826804,2.3.1.3,COMPLIANT,G
826804,2.3.1.4,COMPLIANT,G
826804,2.3.1.5,COMPLIANT,G
826804,2.3.1.6,COMPLIANT,G
826804,2.3.1.7,COMPLIANT,G
826804,2.3.2.1,COMPLIANT,G
826804,2.3.2.2,COMPLIANT,G
826804,2.3.2.3,COMPLIANT,G
826804,2.3.2.4,COMPLIANT,G
826804,2.3.2.5,COMPLIANT,G
826804,2.3.2.6,COMPLIANT,G
826804,2.3.3.1,COMPLIANT,G
826804,2.3.3.2,COMPLIANT,G
826804,2.3.4.1,N/A,G
826804,2.3.4.2,N/A,G
826804,2.3.4.3,N/A,G
826804,2.3.5.1,COMPLIANT,G
826804,2.3.5.2,COMPLIANT,G
826804,2.4.1.1,COMPLIANT,G
826804,2.4.1.2,COMPLIANT,G
826804,2.4.1.3,COMPLIANT,G
826804,2.4.2.1,COMPLIANT,G
826804,2.4.2.2,COMPLIANT,G
826804,2.4.3.1,COMPLIANT,G
826804,2.4.3.2,COMPLIANT,G
826804,2.4.3.3,COMPLIANT,G
826804,2.4.3.4,COMPLIANT,G
826804,2.4.3.5,COMPLIANT,G
826804,2.4.3.6,COMPLIANT,G
826804,2.4.3.7,COMPLIANT,G
826804,2.4.3.8,COMPLIANT,G
826804,2.4.3.9,COMPLIANT,G
826804,2.4.3.10,COMPLIANT,G
826804,2.4.3.11,COMPLIANT,G
826804,2.4.3.12,COMPLIANT,G
826804,2.4.3.13,COMPLIANT,G
826804,2.4.3.14,COMPLIANT,G
826804,2.4.3.15,COMPLIANT,G
826804,2.4.3.16,COMPLIANT,G
826804,2.4.3.17,COMPLIANT,G
826804,2.4.4.1,COMPLIANT,G
826804,2.4.4.2,COMPLIANT,G
826804,2.4.4.3,COMPLIANT,G
826804,2.4.4.4,COMPLIANT,G
826804,2.4.4.5,COMPLIANT,G
826804,2.4.4.6,COMPLIANT,G
826804,2.4.4.7,COMPLIANT,G
826804,2.4.5.1,COMPLIANT,G
826804,2.4.5.2,COMPLIANT,G
826804,2.4.5.3,COMPLIANT,G
826804,2.4.6.1,COMPLIANT,G
826804,2.4.6.2,COMPLIANT,G
826804,2.4.6.3,COMPLIANT,G
826804,2.4.6.4,COMPLIANT,G
826804,2.4.7.1,COMPLIANT,G
826804,2.4.7.2,COMPLIANT,G
826804,2.4.8.1,COMPLIANT,G
826804,2.4.8.2,N/A,G
826804,2.4.8.3,N/A,G
826804,2.4.8.4,N/A,G
826804,2.5.1.1,COMPLIANT,G
826804,2.5.1.2,COMPLIANT,G
826804,2.5.2.1,COMPLIANT,G
826804,2.5.2.2,COMPLIANT,G
826804,2.5.2.3,COMPLIANT,G
826804,2.5.3.1,COMPLIANT,G
826804,2.5.3.2,COMPLIANT,G
826804,2.5.4.1,COMPLIANT,G
826804,2.5.4.2,COMPLIANT,G
826804,2.5.4.3,COMPLIANT,G
826804,2.5.4.4,COMPLIANT,G
826804,2.5.4.5,COMPLIANT,G
826804,2.5.4.6,MINOR,G
826804,2.5.4.7,COMPLIANT,G
826804,2.5.4.8,COMPLIANT,G
826804,2.5.5.1,COMPLIANT,G
826804,2.5.5.2,COMPLIANT,G
826804,2.5.5.3,COMPLIANT,G
826804,2.5.5.4,COMPLIANT,G
826804,2.5.5.5,COMPLIANT,G
826804,2.6.1.1,COMPLIANT,G
826804,2.6.1.2,COMPLIANT,G
826804,2.6.1.3,COMPLIANT,G
826804,2.6.2.1,COMPLIANT,G
826804,2.6.2.2,COMPLIANT,G
